Place,timestamp,Murder,Robbery,wheeler theft,Assault,Kidnap,Latitude,Longitude
"22nd Cross, Jayanagara 6th Block Bangalore",05-03-2020 20:00,1,0,0,0,0,12.93297,77.58381
"On the Road of 30th Cross, Opp Vinayaka texttile, 4th Block Jayanagara Bangalore",28-02-2020 15:50,1,0,0,0,0,12.930433,77.549761
"No. 282, 36th Cross Jayanagara 7th Block Bangalore",28-02-2020 13:30,1,0,0,0,0,12.923736,77.58182
"Near Transfaram, Opp Amejan, Kanakapura Main Road, Jayanagara 7th Block Bangalore",28-02-2020 19:00,1,0,0,0,0,12.924123,77.576913
"No. 53, 2nd Floor, 8th Main 4th Block Jayanagar Bangalore",01-03-2020 00:55,1,0,0,0,0,12.924377,77.582729
"Ambedkar road Rajarajeshwari Slum, Shakambari Nagar Bangalore",05-03-2020 06:15,1,0,0,0,0,12.920604,77.520557
"Near Krishnarao Park, Divan Madava Rao Road, Basavanagudi , Bangalore.",05-03-2020 18:45,1,0,0,0,0,12.940662,77.574095
"No.36/1, 2nd Floor Khazee Street, Basavanagudi , Bangalore.",28-02-2020 12:00,1,0,0,0,0,12.93878218,77.57956109
"Nettakallppa BBMP Play Ground, Behind Ganesha Team, Basavanagudi , Bangalore.",01-03-2020 18:25,1,0,0,0,0,12.9399013,77.57337112
"No 69 Krishna Road out houes, Basavanagudi , Bangalore.",03-03-2020 14:00,1,0,0,0,0,12.944557,77.57758
"No.A8
304 Elita Apartment, JP
Nagar 7th Phase,
Bengaluru City,
Karnaka -560078",28-02-2020 01:00,1,0,0,0,0,12.9076508,77.5951967
"Newly Construction
Building of Kirnakumar,
Near Adigas Hotel, BG
Road, Panduranganagar,
Bengaluru City,
Karnaka-560076",03-03-2020 23:10,1,0,0,0,0,12.9076508,77.5951967
"Infront of House no 110,
6th Cross KR Layout
jpnagar 6th phase,
Bengaluru City, Karnaka",04-03-2020 18:30,1,0,0,0,0,12.9030543,77.5813948
"Newly Construction
buildingNext to
Siddlingeshwara, 17th cross
jpnagar 6th phase,
Bengaluru City,
Karnaka-560078",04-03-2020 20:00,1,0,0,0,0,12.9036647,77.5785439
"House No.19 Near
Jaraganahalli Park, Jp
nagara 6th Phase,
Bengaluru City,
Karnaka-560078",07-03-2020 20:40,1,0,0,0,0,12.9004589,77.5684636
"Lakshmi, 78 old no 32
1st floor 14th A cross, Vivers
colony Sarakki JPnagar 1st
phase,
Bengaluru City,
Karnaka -560078",07-03-2020 17:00,1,0,0,0,0,12.909427,77.5706543
"House No-126/2, 4th
Cross, Sarakki Garden,, JP NAGAR 6th Phase, karnaka",28-02-2020 13:30,1,0,0,0,0,12.9039655,77.5804308
"ON FOOTPH, IN
FRONT OF BALAJI WINES
STORE,, 15TH CROSS, J
P NAGAR, Bengaluru City,
Karnaka",01-03-2020 17:20,1,0,0,0,0,12.9039653,77.5738647
"In Front of Balaji Rise
Traders, 7th Cross,,
Shakambari Nagar,
J.P.Nagar 1st Phase,
Bengaluru City,
Karnaka-560078",28-02-2020 19:25,1,0,0,0,0,12.9124543,77.5737283
"IN FRONT OF
PRUDENCE AUTO
GARRAGE, 19TH MAIN, J
P NAGAR 2ND PHASE,
Bengaluru City,",28-02-2020 19:50,1,0,0,0,0,12.9108342,77.5866704
"IN FRONT OF NO. 822, 24TH MAIN, J P NAGAR 2ND PHASE. BANGALORE-78",06-03-2020 17:25,1,0,0,0,0,12.9071236,77.583816
"No-3335, Govt School
opp,, Cauveri nagar,
Banashankari 2nd stage,
Bengaluru City,",01-03-2020 15:20,1,0,0,0,0,"12°55'3.65""N","77°34'6.67""E"
"No. 46, Sapalamma
Temple Road,,
Kadirenahalli, Banashankari
2nd Stage, Bengaluru City,
Karnaka",07-03-2020 16:15,1,0,0,0,0,"12°54'55.52""N","77°33'43.22""E"
"#NA, Bhavani Nagara , Bsk 2nd Stage, Bengaluru",01-03-2020 22:30,1,0,0,0,0,"12°54'54.21""N","77°33'57.57""E"
"Front of Guljar House,
Banday Hall, 3rd Cross,,
Anand Timber Road,
Kaveeri Nagagr, BSk 2nd
Stage, Bengaluru City,",05-03-2020 07:30,1,0,0,0,0,"12°55'10.75""N","77°34'26.57""E"
"Tolet Back Side 9th main
Yarbnagar, Banshnakari
2nd Stage, Bengaluru City,",28-02-2020 19:45,1,0,0,0,0,12.91986,77.56931
"No.419 9th Main Road
24th Cross, BSK 2nd Stage,
Bengaluru City,",28-02-2020 14:15,1,0,0,0,0,"12°55'29.68""N","77°34'9.51""E"
"#7/1,1st main, 7th cross,
Padmanabha nagara,
Bengaluru City,",01-03-2020 16:05,1,0,0,0,0,12.958864,77.638363
No 223 K.M.Colony Jayanaagar 1st Block Bengaluru.,01-03-2020 22:20,1,0,0,0,0,12.946595,77.59197
Near Papanna Hotel Daynanda nagar slum Jayanagar 1st Block Bengaluru.,04-03-2020 17:00,1,0,0,0,0,12.945264,77.59271
Near Arif office 2nd Cross Arekempanahalli Jayanagar 1st Block Bengaluru.,07-03-2020 18:00,1,0,0,0,0,12.946042,77.593699
"No 4/3, 2nd Cross Arekempanahalli Jayanagar 1st Block Bengaluru.",05-03-2020 22:00,1,0,0,0,0,12.946042,77.593699
Near Babulal Tea Hotel Dayananda Nagar 1st Block Jayanagar Bengaluru.,07-03-2020 13:35,1,0,0,0,0,12.944408,77.593165
EMPTY SITE CAVERY HOTEL BIHIND CHUNCHAGHTA MAIN ROAD BANGLORE,01-03-2020 15:20,1,0,0,0,0,12.89050892,77.57361002
NO 25.10 TH CROSS CHUNCHAGHTA MAIN ROAD BIRESHWRA NAGAR BANGLORE,28-02-2020 00:00,1,0,0,0,0,12.90976685,77.55679873
NO 525. SAMUDAYABHAVANA ROAD VASANTHPURA BANGLORE,01-03-2020 15:30,1,0,0,0,0,12.901082,77.54753806
NO NIL. C/R NAGAESH HOUSE VADDARAPALLY JAMBUSAVARI DINNE JP NAGARA BANGLORE,28-02-2020 19:30,1,0,0,0,0,12.86854765,77.5801126
NO 69. 6TH CROSS 2ND MAIN MANJUNH NAGARA 2ND MAIN BANGLORE,28-02-2020 03:30,1,0,0,0,0,12.90958449,77.55159728
NO 03.3RD FLOOR 1ST MAIN SREYUS COLONY JP NAGARA 7TH PHASE BANGLORE -56,05-03-2020 10:00,1,0,0,0,0,12.88328789,77.58130555
KABAB MAHALA KOTTANURU DINNE MAIN ROAD JP NAGARA 7TH CROSS BANGLORE,03-03-2020 19:45,1,0,0,0,0,12.8776868,77.58071703
NO 68. NAIONAL ENGLISH SCHOOL BIRESHWARANAGARA BANGLORE,01-03-2020 15:20,1,0,0,0,0,12.8887116,77.57377343
NO 17. BENAKA 15 A CROSS AGS LAYOUT BANGLORE CITY,01-03-2020 17:30,1,0,0,0,0,12.89537161,77.55032355
NO 08.C/O SHIVARAMA NEAR GOVT SCHOOL CHUNCHANGHTA KONANAKUNTE POST BANGLORE-62,03-03-2020 16:00,1,0,0,0,0,12.90932828,77.5437415
SHIVA SHAKTI RICRION FRONT NEAR VINAYAKA THETRA HARINAGARA BANGLORE,05-03-2020 18:15,1,0,0,0,0,12.87932828,77.5737415
